,p,BFS Time,A* Time
0,0.06,0.1883397,0.6049781
0,0.06,0.1496354,0.5485815
0,0.06,0.1345871,0.5070174
0,0.06,0.1280123,0.4847492
0,0.06,0.1584725,0.4539246
0,0.06,0.1877087,0.6519354
0,0.06,0.1226275,0.4398988
0,0.06,0.1232822,0.5402674
0,0.06,0.1587523,0.5761007
0,0.06,0.1971203,0.4566592
0,0.06,0.264706,0.8438241
0,0.06,0.0930266,0.3856527
0,0.06,0.2661846,0.8513634
0,0.06,0.150829,0.6006603
0,0.06,0.2009085,0.8119851
0,0.06,0.1527136,0.4679235
0,0.06,0.1496279,0.5385543
0,0.06,0.2307906,0.7324698
0,0.06,0.2148284,0.7714511
0,0.06,0.1451622,0.4754941
0,0.06,0.2114064,0.7462683
0,0.06,0.1937562,0.7465462
0,0.06,0.25835,0.866055
0,0.06,0.1787787,0.4704161
0,0.07,0.2340215,0.8592077
0,0.07,0.2411534,0.8560609
0,0.07,0.3196796,1.1097743
0,0.07,0.1618737,0.4759769
0,0.07,0.2458522,0.9881613
0,0.07,0.2708817,0.6371485
0,0.07,0.1716373,0.6539883
0,0.07,0.3144758,1.0885631
0,0.07,0.2469817,0.6331297
0,0.07,0.2458813,0.8459259
0,0.07,0.1677014,0.450247
0,0.07,0.154447,0.597794
0,0.07,0.2600172,1.0479515
0,0.07,0.1780528,0.8185082
0,0.07,0.1912604,0.5582684
0,0.07,0.2525382,1.1237623
0,0.07,0.1938311,0.9020357
0,0.07,0.0801583,0.260819
0,0.07,0.1780619,0.6693642
0,0.07,0.2792491,0.7051316
0,0.07,0.151984,0.5921939
0,0.07,0.2532729,0.7255062
0,0.07,0.1879616,0.5492416
0,0.07,0.2152116,0.9681349
0,0.07,0.2750632,1.3458532
0,0.07,0.2324523,0.6658132
0,0.07,0.2971599,1.1988446
0,0.07,0.2720158,0.7939341
0,0.07,0.2343382,1.0447135
0,0.07,0.2710935,0.9231459
0,0.08,0.3172497,0.9327752
0,0.08,0.1765724,0.4995288
0,0.08,0.2998564,0.999485
0,0.08,0.1440952,0.5523923
0,0.08,0.3054767,0.903744
0,0.08,0.3292976,0.728474
0,0.08,0.2333154,0.8451743
0,0.08,0.1900071,0.6986583
0,0.08,0.1828018,0.4579845
0,0.08,0.2849964,0.8922716
0,0.08,0.2644212,1.008908
0,0.08,0.1712443,0.6656327
0,0.08,0.2127644,0.5001119
0,0.08,0.3006379,0.896801
0,0.08,0.1634476,0.4810801
0,0.08,0.1836189,0.5178227
0,0.08,0.3191588,1.2999536
0,0.08,0.2183372,0.6710206
0,0.08,0.2199098,0.9421392
0,0.08,0.1742138,0.5040041
0,0.08,0.2651634,0.9872628
0,0.08,0.1820286,0.6934776
0,0.08,0.2641973,0.8130501
0,0.08,0.3429241,1.2013449
0,0.08,0.2000668,0.5637591
0,0.08,0.2450408,0.9450767
0,0.08,0.2762219,1.0679914
0,0.08,0.2019743,0.8078614
0,0.08,0.2002929,0.76577
0,0.08,0.1974316,0.6263513
0,0.09,0.287264,1.1467836
0,0.09,0.2945196,0.8509628
0,0.09,0.229821,0.8398674
0,0.09,0.2396171,0.7562486
0,0.09,0.2607571,1.0346849
0,0.09,0.3036695,1.0799663
0,0.09,0.2160421,0.534134
0,0.09,0.1637737,0.7136085
0,0.09,0.229808,0.6748801
0,0.09,0.2738501,1.0446303
0,0.09,0.1687434,0.9379841
0,0.09,0.2910835,0.8665514
0,0.09,0.2701541,0.8252912
0,0.09,0.2330801,0.8029464
0,0.09,0.2812528,0.8617203
0,0.09,0.2964114,1.0455413
0,0.09,0.2168267,0.5689848
0,0.09,0.4051569,1.7561481
0,0.09,0.2831427,0.856309
0,0.09,0.1895572,0.6478328
0,0.09,0.3293025,1.1921763
0,0.09,0.3363999,0.9081314
0,0.09,0.2771872,0.8514312
0,0.09,0.2310052,0.6726494
0,0.09,0.23123,0.8084652
0,0.09,0.3361256,1.1132311
0,0.09,0.1976817,0.8516107
0,0.09,0.1437995,0.3394341
0,0.09,0.2950923,1.2819585
0,0.09,0.2031219,0.6687939
0,0.1,0.3053681,1.0730827
0,0.1,0.3159417,1.1441713
0,0.1,0.255054,0.8882255
0,0.1,0.3619394,1.0202451
0,0.1,0.4610051,1.4100366
0,0.1,0.3396543,1.4022051
0,0.1,0.375688,0.9977543
0,0.1,0.4878741,1.2842064
0,0.1,0.2554931,0.8311682
0,0.1,0.258813,0.633125
0,0.1,0.3939949,1.2993269
0,0.1,0.1749339,0.5878953
0,0.1,0.4153677,1.6933457
0,0.1,0.3334785,1.226259
0,0.1,0.2275506,0.8902256
0,0.1,0.3237217,0.9419254
0,0.1,0.325405,1.040652
0,0.1,0.290312,1.1443985
0,0.1,0.2797821,1.0775536
0,0.1,0.3758248,1.1037176
0,0.1,0.3066791,1.113145
0,0.1,0.4542662,1.0796782
0,0.1,0.5120677,1.2866728
0,0.1,0.3473225,1.2258908
0,0.1,0.4011424,1.4796504
0,0.1,0.4424768,1.1717898
0,0.1,0.3922543,1.4029673
0,0.1,0.2045984,0.4794245
0,0.1,0.3114789,1.0744798
0,0.1,0.3161191,0.9745525
0,0.11,0.2722823,0.9143915
0,0.11,0.2963401,0.7219356
0,0.11,0.2584582,0.8204183
0,0.11,0.2391446,0.5630099
0,0.11,0.4121861,1.3856965
0,0.11,0.3141729,1.0615188
0,0.11,0.3954167,0.9527695
0,0.11,0.2662976,0.7273669
0,0.11,0.380398,0.9023953
0,0.11,0.3144409,0.8714987
0,0.11,0.3980187,1.5416846
0,0.11,0.3398759,1.4455584
0,0.11,0.273083,0.9068306
0,0.11,0.2817351,1.0106244
0,0.11,0.1876694,0.7365077
0,0.11,0.3625931,1.3375837
0,0.11,0.3127184,1.0988148
0,0.11,0.3829437,1.3072787
0,0.11,0.2873048,1.0757463
0,0.11,0.4103095,1.1855081
0,0.11,0.3165014,0.9534868
0,0.11,0.2755623,0.9283576
0,0.11,0.3416881,1.1137972
0,0.11,0.3917941,1.2760653
0,0.11,0.3356841,1.1825514
0,0.11,0.4512052,1.8140828
0,0.11,0.3550976,1.2443909
0,0.11,0.1903786,0.4645169
0,0.11,0.4094936,1.0775824
0,0.11,0.3260058,1.1340608
0,0.12,0.3829678,1.4418687
0,0.12,0.4658135,1.6951839
0,0.12,0.271734,0.9641993
0,0.12,0.4430488,1.2666043
0,0.12,0.3101736,1.0100623
0,0.12,0.3485461,1.1029863
0,0.12,0.2538068,0.8784544
0,0.12,0.2798848,1.0000539
0,0.12,0.3442222,1.2259708
0,0.12,0.3916048,1.3239774
0,0.12,0.4069667,1.3973614
0,0.12,0.3115625,1.1491275
0,0.12,0.2389689,0.6765004
0,0.12,0.333789,0.965149
0,0.12,0.3238831,1.0321205
0,0.12,0.3619817,1.2658795
0,0.12,0.4420016,1.7321284
0,0.12,0.2448855,0.7798564
0,0.12,0.4361456,1.1483599
0,0.12,0.2876182,1.0493188
0,0.12,0.3841919,1.600351
0,0.12,0.3612271,1.3947127
0,0.12,0.3227345,0.8646874
0,0.12,0.3207723,0.9935498
0,0.12,0.3810589,1.4138336
0,0.12,0.3175789,0.930908
0,0.12,0.3694873,1.0296333
0,0.12,0.4272285,1.7183428
0,0.12,0.3981717,1.6654188
0,0.12,0.2164889,0.9616245
0,0.13,0.55085,1.8055747
0,0.13,0.488438,1.3952035
0,0.13,0.2508152,0.8547925
0,0.13,0.2578252,1.083585
0,0.13,0.4214656,1.3520533
0,0.13,0.3792808,1.076076
0,0.13,0.341771,1.2035107
0,0.13,0.5171233,1.4754748
0,0.13,0.5318757,1.7781795
0,0.13,0.4185426,1.2143484
0,0.13,0.3514011,1.2352758
0,0.13,0.4098445,1.6206085
0,0.13,0.3868635,1.4039245
0,0.13,0.2868383,1.0108858
0,0.13,0.4284349,1.0021907
0,0.13,0.4838431,1.2748259
0,0.13,0.4612154,1.3529229
0,0.13,0.5074105,2.0273695
0,0.13,0.4846474,1.3807526
0,0.13,0.2660269,0.8352151
0,0.13,0.3654347,1.2505925
0,0.13,0.3891428,1.1160167
0,0.13,0.3371751,0.9810098
0,0.13,0.2819708,1.0159184
0,0.13,0.3325456,1.1672462
0,0.13,0.3009555,1.2920363
0,0.13,0.5976007,1.8369127
0,0.13,0.2411434,0.8580087
0,0.13,0.5628413,1.6922842
