,p,Trajectory Length,FDG Length,FG Length,Cells Processed
0,0.01,203,201,201,26210
0,0.01,205,201,201,10478
0,0.02,203,201,201,10350
0,0.02,201,201,201,13634
0,0.02,203,201,201,24145
0,0.02,209,201,201,10905
0,0.02,201,201,201,21271
0,0.02,203,201,201,16595
0,0.02,203,201,201,16376
0,0.02,207,201,201,32947
0,0.02,209,201,201,25825
0,0.02,203,201,201,17742
0,0.02,203,201,201,15100
0,0.02,209,201,201,16495
0,0.02,205,201,201,20103
0,0.02,201,201,201,28458
0,0.02,207,201,201,17384
0,0.02,207,201,201,10495
0,0.02,209,201,201,13107
0,0.02,203,201,201,41099
0,0.02,205,201,201,11190
0,0.02,203,201,201,37372
0,0.02,203,201,201,29529
0,0.02,207,201,201,20475
0,0.02,203,201,201,29693
0,0.02,201,201,201,20366
0,0.02,207,201,201,16017
0,0.02,205,201,201,21088
0,0.02,207,201,201,19629
0,0.02,215,201,201,24030
0,0.02,203,201,201,15715
0,0.02,209,201,201,30587
0,0.02,207,201,201,26294
0,0.02,203,201,201,10461
0,0.02,201,201,201,10201
0,0.02,211,201,201,19896
0,0.02,205,201,201,14331
0,0.02,201,201,201,15245
0,0.02,207,201,201,27039
0,0.02,207,201,201,27604
0,0.02,203,201,201,21098
0,0.02,201,201,201,25338
0,0.02,207,201,201,22354
0,0.02,205,201,201,35602
0,0.02,203,201,201,25145
0,0.02,205,201,201,10694
0,0.02,201,201,201,21689
0,0.02,205,201,201,16001
0,0.02,201,201,201,24512
0,0.02,207,201,201,11499
0,0.02,205,201,201,34332
0,0.02,207,201,201,16785
0,0.02,201,201,201,11816
0,0.02,203,201,201,20524
0,0.02,207,201,201,28424
0,0.02,201,201,201,12119
0,0.02,203,201,201,27441
0,0.02,203,201,201,32904
0,0.02,213,201,201,15329
0,0.02,203,201,201,14059
0,0.02,207,201,201,23676
0,0.02,211,201,201,16634
0,0.02,209,201,201,38780
0,0.02,203,201,201,33953
0,0.02,211,201,201,20063
0,0.02,205,201,201,13147
0,0.02,203,201,201,16554
0,0.02,211,201,201,21565
0,0.02,201,201,201,20401
0,0.02,201,201,201,10201
0,0.02,203,201,201,16700
0,0.02,203,201,201,22082
0,0.02,209,201,201,20287
0,0.02,205,201,201,30123
0,0.02,205,201,201,10367
0,0.02,201,201,201,24772
0,0.02,201,201,201,10201
0,0.02,207,201,201,25498
0,0.02,203,201,201,23874
0,0.02,201,201,201,13624
0,0.02,209,201,201,17020
0,0.02,207,201,201,14160
0,0.02,207,201,201,19057
0,0.02,211,201,201,18235
0,0.02,205,201,201,17975
0,0.02,203,201,201,33566
0,0.02,205,201,201,24986
0,0.02,205,201,201,10667
0,0.02,203,201,201,31246
0,0.02,211,201,201,22148
0,0.02,205,201,201,14818
0,0.02,211,201,201,19963
0,0.02,205,201,201,33007
0,0.02,205,201,201,21083
0,0.02,203,201,201,32657
0,0.02,203,201,201,25157
0,0.02,203,201,201,18292
0,0.02,205,201,201,38786
0,0.02,207,201,201,17470
0,0.02,203,201,201,23626
0,0.02,201,201,201,31825
0,0.02,205,201,201,10562
0,0.03,207,201,201,29582
0,0.03,205,201,201,11987
0,0.03,205,201,201,33426
0,0.03,205,201,201,13796
0,0.03,209,201,201,29457
0,0.03,209,201,201,25154
0,0.03,207,201,201,31858
0,0.03,211,201,201,55500
0,0.03,211,201,201,27663
0,0.03,209,201,201,34209
0,0.03,205,201,201,22083
0,0.03,205,201,201,35133
0,0.03,211,201,201,19959
0,0.03,207,201,201,26394
0,0.03,215,201,201,30587
0,0.03,203,201,201,15473
0,0.03,201,201,201,18647
0,0.03,207,201,201,24141
0,0.03,207,201,201,27268
0,0.03,203,201,201,24047
0,0.03,203,201,201,32955
0,0.03,205,201,201,12359
0,0.03,203,201,201,16302
0,0.03,209,201,201,50671
0,0.03,209,201,201,17519
0,0.03,205,201,201,18859
0,0.03,211,201,201,11566
0,0.03,205,201,201,29633
0,0.03,209,201,201,37007
0,0.03,207,201,201,52927
0,0.03,209,201,201,25759
0,0.03,217,201,201,11331
0,0.03,207,201,201,31443
0,0.03,209,201,201,10809
0,0.03,205,201,201,16836
0,0.03,209,201,201,16774
0,0.03,205,201,201,35590
0,0.03,213,201,201,31847
0,0.03,205,201,201,56039
0,0.03,207,201,201,48077
0,0.03,211,201,201,38057
0,0.03,213,201,201,33091
0,0.03,203,201,201,43674
0,0.03,203,201,201,44771
0,0.03,205,201,201,36830
0,0.03,209,201,201,29790
0,0.03,203,201,201,42999
0,0.03,209,201,201,33894
0,0.03,207,201,201,38801
0,0.03,205,201,201,17891
0,0.03,201,201,201,13610
0,0.03,209,201,201,15920
0,0.03,211,201,201,16511
0,0.03,203,201,201,20190
0,0.03,203,201,201,22445
0,0.03,211,201,201,23525
0,0.03,203,201,201,15088
0,0.03,205,201,201,16944
0,0.03,219,201,201,20732
0,0.03,209,201,201,33177
0,0.03,211,201,201,12634
0,0.03,205,201,201,24228
0,0.03,205,201,201,32872
0,0.03,205,201,201,19368
0,0.03,209,201,201,34078
0,0.03,205,201,201,22511
0,0.03,207,201,201,27476
0,0.03,207,201,201,26330
0,0.03,207,201,201,29920
0,0.03,203,201,201,27118
0,0.03,207,201,201,20943
0,0.03,209,201,201,21856
0,0.03,209,201,201,13533
