,p,Trajectory Length,FDG Length,FG Length,Cells Processed
0,0,201,201,201,10201
0,0,201,201,201,10201
0,0,201,201,201,10201
0,0,201,201,201,10201
0,0,201,201,201,10201
0,0,201,201,201,10201
0,0,201,201,201,10201
0,0,201,201,201,10201
0,0,201,201,201,10201
0,0,201,201,201,10201
0,0,201,201,201,10201
0,0,201,201,201,10201
0,0,201,201,201,10201
0,0,201,201,201,10201
0,0,201,201,201,10201
0,0,201,201,201,10201
0,0,201,201,201,10201
0,0,201,201,201,10201
0,0,201,201,201,10201
0,0,201,201,201,10201
0,0,201,201,201,10201
0,0,201,201,201,10201
0,0,201,201,201,10201
0,0,201,201,201,10201
0,0,201,201,201,10201
0,0,201,201,201,10201
0,0,201,201,201,10201
0,0,201,201,201,10201
0,0,201,201,201,10201
0,0,201,201,201,10201
0,0,201,201,201,10201
0,0,201,201,201,10201
0,0,201,201,201,10201
0,0,201,201,201,10201
0,0,201,201,201,10201
0,0,201,201,201,10201
0,0,201,201,201,10201
0,0,201,201,201,10201
0,0,201,201,201,10201
0,0,201,201,201,10201
0,0,201,201,201,10201
0,0,201,201,201,10201
0,0,201,201,201,10201
0,0,201,201,201,10201
0,0,201,201,201,10201
0,0,201,201,201,10201
0,0,201,201,201,10201
0,0,201,201,201,10201
0,0,201,201,201,10201
0,0,201,201,201,10201
0,0,201,201,201,10201
0,0,201,201,201,10201
0,0,201,201,201,10201
0,0,201,201,201,10201
0,0,201,201,201,10201
0,0,201,201,201,10201
0,0,201,201,201,10201
0,0,201,201,201,10201
0,0,201,201,201,10201
0,0,201,201,201,10201
0,0,201,201,201,10201
0,0,201,201,201,10201
0,0,201,201,201,10201
0,0,201,201,201,10201
0,0,201,201,201,10201
0,0,201,201,201,10201
0,0,201,201,201,10201
0,0,201,201,201,10201
0,0,201,201,201,10201
0,0,201,201,201,10201
0,0,201,201,201,10201
0,0,201,201,201,10201
0,0,201,201,201,10201
0,0,201,201,201,10201
0,0,201,201,201,10201
0,0,201,201,201,10201
0,0,201,201,201,10201
0,0,201,201,201,10201
0,0,201,201,201,10201
0,0,201,201,201,10201
0,0,201,201,201,10201
0,0,201,201,201,10201
0,0,201,201,201,10201
0,0,201,201,201,10201
0,0,201,201,201,10201
0,0,201,201,201,10201
0,0,201,201,201,10201
0,0,201,201,201,10201
0,0,201,201,201,10201
0,0,201,201,201,10201
0,0,201,201,201,10201
0,0,201,201,201,10201
0,0,201,201,201,10201
0,0,201,201,201,10201
0,0,201,201,201,10201
0,0,201,201,201,10201
0,0,201,201,201,10201
0,0,201,201,201,10201
0,0,201,201,201,10201
