,p,Trajectory Length,FDG Length,FG Length,Cells Processed
0,0.060000000000000005,211,201,201,83330
0,0.060000000000000005,215,201,201,58302
0,0.060000000000000005,211,201,201,92651
0,0.060000000000000005,213,201,201,78689
0,0.060000000000000005,233,201,201,86447
0,0.060000000000000005,209,201,201,82298
0,0.060000000000000005,215,201,201,75687
0,0.060000000000000005,217,201,201,78688
0,0.060000000000000005,211,201,201,73056
0,0.060000000000000005,215,201,201,85592
0,0.060000000000000005,209,201,201,63154
0,0.060000000000000005,209,201,201,57101
0,0.060000000000000005,211,201,201,134317
0,0.060000000000000005,219,201,201,121663
0,0.060000000000000005,213,201,201,49870
0,0.060000000000000005,223,201,201,79396
0,0.060000000000000005,209,201,201,44557
0,0.060000000000000005,209,201,201,50778
0,0.060000000000000005,219,201,201,87306
0,0.060000000000000005,225,201,201,105551
0,0.060000000000000005,235,201,201,64818
0,0.060000000000000005,209,201,201,92253
0,0.060000000000000005,213,201,201,141519
0,0.060000000000000005,215,201,201,72842
0,0.07,219,201,201,93775
0,0.07,209,201,201,84767
0,0.07,227,201,201,70353
0,0.07,219,201,201,107958
0,0.07,221,201,201,126784
0,0.07,217,201,201,112501
0,0.07,223,201,201,121627
0,0.07,209,201,201,109304
0,0.07,219,201,201,122907
0,0.07,211,201,201,81788
0,0.07,211,201,201,66842
0,0.07,221,201,201,106769
0,0.07,213,201,201,115315
0,0.07,215,201,201,191021
0,0.07,219,201,201,101130
0,0.07,213,201,201,76518
0,0.07,217,201,201,96079
0,0.07,205,201,201,76258
0,0.07,215,201,201,57908
0,0.07,211,201,201,108710
0,0.07,213,201,201,140104
0,0.07,217,201,201,82164
0,0.07,225,201,201,118355
0,0.07,229,201,201,136460
0,0.07,225,201,201,120797
0,0.07,227,201,201,192478
0,0.07,215,201,201,131123
0,0.07,227,201,201,109920
0,0.07,215,201,201,68538
0,0.07,217,201,201,95497
0,0.08,211,201,201,91662
0,0.08,221,201,201,108831
0,0.08,209,201,201,101100
0,0.08,221,201,201,131466
0,0.08,229,201,201,184340
0,0.08,233,201,201,151177
0,0.08,235,201,201,156874
0,0.08,223,201,201,155830
0,0.08,223,201,201,183215
0,0.08,213,201,201,173321
0,0.08,209,201,201,119137
0,0.08,215,201,201,86690
0,0.08,225,201,201,157125
0,0.08,217,201,201,117790
0,0.08,213,201,201,65243
0,0.08,217,201,201,104569
0,0.08,217,201,201,42832
0,0.08,219,201,201,113167
0,0.08,229,201,201,105823
0,0.08,207,201,201,171640
0,0.08,225,201,201,69423
0,0.08,227,201,201,110762
0,0.08,223,201,201,97131
0,0.08,213,201,201,137400
0,0.08,215,201,201,147948
0,0.08,235,201,201,145370
0,0.08,217,201,201,167876
0,0.08,219,201,201,94595
0,0.08,223,201,201,170899
0,0.08,217,201,201,170388
0,0.09,235,201,201,130057
0,0.09,229,201,201,180129
0,0.09,229,201,201,154965
0,0.09,223,201,201,124604
0,0.09,229,201,201,138411
0,0.09,243,201,201,174382
0,0.09,229,201,201,165266
0,0.09,221,201,201,199263
0,0.09,219,201,201,136137
0,0.09,227,201,201,143774
0,0.09,221,201,201,165590
0,0.09,217,201,201,138764
0,0.09,231,201,201,149054
0,0.09,243,201,201,155828
0,0.09,243,201,201,254740
0,0.09,227,201,201,111212
0,0.09,211,201,201,67207
0,0.09,217,201,201,106520
0,0.09,239,201,201,121253
0,0.09,237,201,201,217703
0,0.09,233,201,201,175019
0,0.09,241,201,201,175102
0,0.09,225,201,201,134922
0,0.09,221,201,201,149324
